date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:09	97157/97157	---M--	200	added ('OK')	image/png	etag:%222ae0454-17b85-5e41306d9c580%22	https://toyfight.co/wp-content/uploads/2018/09/image-eddie.png	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/09/image-eddie.png	(from https://toyfight.co/work/)
14:22:09	21804/21804	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:14%20GMT	https://toyfight.co/work/open-continents/	D:/My%20Web%20Sites2/asd/toyfight.co/work/open-continents/index.html	(from https://toyfight.co/work/)
14:22:09	76579/76579	---M--	200	added ('OK')	image/png	etag:%222ae0442-12b23-5e41306ca8340%22	https://toyfight.co/wp-content/uploads/2018/09/image-arts-council-1.png	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/09/image-arts-council-1.png	(from https://toyfight.co/work/)
14:22:09	154601/154601	---M--	200	added ('OK')	image/png	etag:%222ae018f-25be9-5e41301aa41c0%22	https://toyfight.co/wp-content/uploads/2018/08/image-psg.png	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/08/image-psg.png	(from https://toyfight.co/work/)
14:22:09	196028/196028	---M--	200	added ('OK')	image/png	etag:%222ae046c-2fdbc-5e41307078c40%22	https://toyfight.co/wp-content/uploads/2018/09/image-salomon-1.png	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/09/image-salomon-1.png	(from https://toyfight.co/work/)
14:22:10	201739/201739	---M--	200	added ('OK')	image/png	etag:%222ae0475-3140b-5e4130716ce80%22	https://toyfight.co/wp-content/uploads/2018/09/image-v76.png	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/09/image-v76.png	(from https://toyfight.co/work/)
14:22:10	22883/22883	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:15%20GMT	https://toyfight.co/work/candid/	D:/My%20Web%20Sites2/asd/toyfight.co/work/candid/index.html	(from https://toyfight.co/work/)
14:22:10	22300/22300	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:15%20GMT	https://toyfight.co/work/journey-further/	D:/My%20Web%20Sites2/asd/toyfight.co/work/journey-further/index.html	(from https://toyfight.co/work/)
14:22:10	2225/2225	---MC-	200	added ('OK')	application/json	date:Sat,%2030%20Sep%202023%2012:24:15%20GMT	https://toyfight.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftoyfight.co%2Fwork%2Fnerd%2F	D:/My%20Web%20Sites2/asd/toyfight.co/wp-json/oembed/1.0/embed9d6f.json	(from https://toyfight.co/work/nerd/)
14:22:10	23773/23773	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:15%20GMT	https://toyfight.co/work/eddie/	D:/My%20Web%20Sites2/asd/toyfight.co/work/eddie/index.html	(from https://toyfight.co/work/)
14:22:11	21986/21986	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:16%20GMT	https://toyfight.co/work/arts-council/	D:/My%20Web%20Sites2/asd/toyfight.co/work/arts-council/index.html	(from https://toyfight.co/work/)
14:22:11	2316/2316	---MC-	200	added ('OK')	text/xml	date:Sat,%2030%20Sep%202023%2012:24:16%20GMT	https://toyfight.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftoyfight.co%2Fwork%2Fnerd%2F&format=xml	D:/My%20Web%20Sites2/asd/toyfight.co/wp-json/oembed/1.0/embed6e5e	(from https://toyfight.co/work/nerd/)
14:22:11	20714/20714	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2012:24:16%20GMT	https://toyfight.co/work/psg/	D:/My%20Web%20Sites2/asd/toyfight.co/work/psg/index.html	(from https://toyfight.co/work/)
14:22:11	202720/202720	---M--	200	added ('OK')	image/jpeg	etag:%222ae050a-317e0-5e41308850480%22	https://toyfight.co/wp-content/uploads/2018/09/nerd-intro-2500x955.jpg	D:/My%20Web%20Sites2/asd/toyfight.co/wp-content/uploads/2018/09/nerd-intro-2500x955.jpg	(from https://toyfight.co/work/nerd/)
